Italian,English
e,and
non,not
che,that
di,from
la,there
il,the
un,a
a,to
per,for
è,is
in,in
una,a
mi,me
sono,I am
ho,I have
si,Yes
ha,has
ma,but
lo,the
cosa,what
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,as
io,I
ci,there
hai,you have
questo,this
bene,well
qui,here
sei,six
del,of the
tu,you
solo,alone
mio,my
al,to the
me,myself
tutto,everything
c',there
te,you
era,was
della,from the
mia,my
fatto,done
fare,do
essere,to be
so,so
quando,when
sì,Yes
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,said
ok,ok
va,it goes
perche,because
quello,that
mai,never
alla,at the
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of the
grazie,thank you
chi,who
sta,is
molto,very
più,more
voglio,I want
perché,because
tuo,your
beh,well
sia,be
nel,In the
lui,he
allora,so
posso,I can
piu,more
ehi,Hey
prima,first
tua,your
suo,his
niente,nothing
qualcosa,something
sai,you know
siamo,are
un',a
cosi,as
davvero,really
ancora,still
hanno,they have
stai,you are
fa,does
sua,her
così,Like this
casa,home
uno,one
dove,where is it
su,on
vero,real
vuoi,do you want
noi,we
due,two
quindi,so
dire,to say
d',d '
delle,from the
quella,that
sempre,always
altro,other
sto,I'm
andare,to go
ad,to
po,bit
loro,they
devo,I must
quel,that
forse,maybe
li,there
proprio,own
certo,certain
tempo,weather
nella,in the
poi,then
vi,you
credo,I believe
vita,life
cose,what's this
sul,on the
quanto,how much
puoi,can
fuori,out
anni,years
cui,which
andiamo,here we go
dell',dell
parte,part
visto,view
qualcuno,someone
all',all
lavoro,work
voi,you
ciao,Hello
dio,God
volta,time
dopo,after
adesso,now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,already
amico,friend
ed,and
posto,place
nessuno,nobody
via,Street
cos',COS
fai,you do
signore,man
meglio,better
cazzo,cock
dai,come on
dal,from
vuole,wants
sembra,it seems
giorno,day
ogni,every
modo,way
senza,without
vedere,to see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,Here you are
parlare,talk
tra,between
mamma,mom
già,already
sarebbe,would be
dalla,from the
troppo,too
fosse,it were
possiamo,we can
ce,there is
nuovo,new
male,bad
madre,mother
avete,you have
tanto,much
favore,favor
successo,success
vai,Go
sulla,on the
giusto,right
sa,knows
miei,my
aspetta,Wait
avere,to have
altra,other
farlo,to do it
alle,at
facendo,doing
abbia,have
momento,moment
ero,was
aveva,had
ragazzi,lads
deve,needs to
persone,people
nostro,our
tipo,guy
prego,You are welcome
grande,great
può,can
senti,hear
appena,just
potrebbe,could be
soldi,money
dice,He says
sapere,know
tre,three
oggi,today
questi,these
piace,like it
idea,idea
siete,you are
ai,to the
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,Safe
vieni,do you come
degli,of the
guarda,look
dentro,inside
trovato,found it
queste,these
caso,case
forza,force
dov',where
tutte,all
pensi,think
signora,Mrs
faccio,I do
nome,first name
avuto,had
problema,problem
altri,others
puo,can he
aver,have
mondo,world
tutta,all
preso,taken
nulla,nothing
nostra,our
donna,woman
stare,to stay
basta,enough
insieme,together
faccia,face
ragazza,lass
subito,immediately
famiglia,family
ragazzo,boy
volevo,I wanted
okay,okay
sentito,heard
ah,ah
stesso,same
ragione,reason
sarà,Sara
tuoi,your
capito,understood
notte,night
volte,times
testa,head
serve,serve
tesoro,treasure
sotto,under
eh,eh
suoi,its
vado,I'm going
sara,will be
dato,given
stiamo,we are
bella,beautiful
scusa,excuse me
erano,they were
pensavo,I thought
avrei,I would have
prendere,to take
buona,good
porta,brings
bello,Handsome
moglie,wife
vorrei,I would like
storia,history
succede,happens
morto,died
cercando,looking for
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,forward
capisco,I understand
secondo,second
venire,come
polizia,police
lì,there
avrebbe,it would have
stanno,they are
mentre,while
letto,read
fino,until
dico,I say
amici,friends
fine,end
aiuto,Help
paura,fear
fratello,brother
stavo,I was
uomini,men
nell',in the'
domani,tomorrow
facciamo,we do
abbastanza,enough
capo,boss
amore,love
nei,in the
ucciso,killed
state,state
piano,plan
macchina,car
trovare,to find
comunque,anyway
vediamo,we see
giorni,days
nemmeno,neither
mano,but no
dall',by
presto,soon
stati,States
merda,shit
far,make
bambino,child
andato,left
vedo,I see
tornare,return
quelle,those
cio,that is
primo,first
vostro,your
neanche,not even
sera,evening
giro,round
morte,death
e',And'
qua,here
pensato,thought
buon,good
anno,year
mie,my
diavolo,Devil
quasi,almost
piacere,pleasure
bel,nice
dovrei,I should
nessun,no
contro,versus
stessa,itself
felice,happy
colpa,guilt
punto,point
andata,round
dovrebbe,should
vedi,you see
quale,which
chiesto,asked
invece,instead
perchè,because
migliore,improve
nostri,our
finito,finished
figlia,daughter
dovresti,you should
papa,Dad
almeno,at least
sento,I feel
quei,those
col,with the
ore,hours
passato,past
magari,let's hope
minuti,minutes
terra,Earth
vostra,yours
strada,Street
sola,alone
credi,believe
importante,important
sue,his
salve,Hello
settimana,week
perso,lost
uscire,go out
parlato,spoken
papà,dad
stasera,this evening
scusi,excuse me
dollari,dollars
occhi,eyes
mani,hands
ultima,ultimate
possibile,possible
scuola,school
significa,it means
sapevo,knew
nelle,in
potrei,I could
stava,stood
bambini,children
eri,you was
importa,it matters
indietro,backards
riesco,I can
sangue,blood
chiama,who loves
messo,put
piccolo,small
traduzione,translation
tardi,late
cuore,heart
marito,husband
viene,he comes
venuto,coming
ieri,yesterday
spero,I hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,listens
difficile,hard
quell',that'
auto,car
chiamato,called
ciò,that is
altre,other
parlando,speaking
pensare,think
fantastico,fantastic
fatta,made
numero,number
veramente,truly
fanno,they do
com',com
serio,serious
possa,may
fossi,you were
entrare,to come in
anch',Anch '
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,water
portato,carried
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,leaves
amo,I love
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,it seems
sentire,hear
foto,photo
telefono,phone
voleva,she wanted
poco,little
prendi,take
piccola,small
vicino,near
quest',This
sacco,sack
stia,stia
capire,understand
potuto,could
cinque,five
strano,strange
tue,yours
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,gender
quattro,four
dare,give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speak out
ufficio,office
verso,towards
mesi,months
farti,make yourself
unica,unique
morire,die
signorina,Miss
vecchio,old
domanda,request
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,a
vivere,to live
vista,view
prova,trial
nuova,new
ricordo,I remember
divertente,fun
avessi,I had
sicura,safe
paio,pair
conto,bill
perdere,lose
dimmi,tell me
farmi,do
figli,sons
mezzo,middle
lavorare,to work
unico,one of a kind
esattamente,exactly
squadra,squad
esatto,exact
possono,can
fate,you do
faro,Lighthouse
sapete,You know
dottor,dottor
parola,word
piedi,feet
sopra,over it
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,finite
volete,you want
siano,they are
potresti,could
gioco,game
perfetto,perfect
be,be
mente,mind
mangiare,eat
resto,rest
credere,to believe
fortuna,fortune
tratta,deals with
chiamo,call
morta,dead
là,there
entrambi,both of them
avresti,you would have
passare,pass
cena,dinner
the,The
sarei,I would be
controllo,check
affari,business
spiace,sorry
ultimo,last
facile,easy
farò,Lighthouse
buongiorno,Good morning
davanti,front
tizio,guy
dammi,give me
sicurezza,safety
dalle,give her
quanti,how many
dica,say
matrimonio,marriage
john,John
vogliono,they want
molti,many
culo,ass
fuoco,fire
cercare,search for
pistola,pistol
potremmo,we could
re,king
mandato,mandate
puttana,whore
negli,in
cioe,that is
inizio,Start
saranno,they will be
causa,cause
voglia,wants
mettere,put
fammi,do for me
uccidere,kill
vogliamo,we want
faremo,we will do
però,However
genitori,parents
sesso,sex
potete,you can
ricevuto,received
vivo,I live
presidente,president
città,city
citta,city
succedendo,happening
ospedale,hospital
fu,was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,Attention
sulle,on
bere,drinking
situazione,situation
omicidio,homocide
revisione,revision
avesse,he had
ottimo,optimal
cura,treatment
durante,during
provato,tried
parole,words
lasciare,to leave
dicono,they say
new,New
prossima,next
nostre,our
arrivato,arrived
paese,village
sull',On
andate,go
chiunque,whoever
capisci,Do you understand
pace,peace
immagino,I imagine
musica,music
tieni,keep
oddio,oh God
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,wrong
dirmi,tell me
wow,wow
farai,do
entra,come in
venuta,coming
scelta,choice
voluto,desired
portare,bring
assolutamente,absolutely
molte,many
chiedo,ask
torna,back
scoperto,discovery
fatti,facts
settimane,weeks
dirlo,tell him
alcuni,some
prigione,prison
giornata,day
piuttosto,Rather
buono,good
aspettare,wait
parli,you speak
arrivare,arrive
lungo,long
vede,see
avvocato,lawyer
deciso,decided
sarai,you will be
messaggio,message
dormire,sleep
dieci,ten
stupido,stupid
usare,use
dello,of the
cielo,sky
guardare,watch
bagno,bathroom
aria,air
voce,voice
tornato,got back
vuol,vuol
giù,below
conosci,you know
benissimo,very good
prendo,I take
verita,truth
cane,dog
restare,to remain
chiamare,to call
poter,be able
campo,field
luce,light
sam,sam
qualunque,any
giovane,young
signori,gentlemen
fra,between
provare,try out
minuto,minute
saperlo,know
lontano,distant
gruppo,group
continua,keep it going
arrivo,I arrive
gran,great
realta,reality
cerca,near
passo,step
domande,requests
insomma,In short
bambina,girl
pensando,think
capelli,hair
trova,finds
onore,honor
aiutare,to help
verità,truth
prove,proof
n',n '
funziona,Works
alto,tall
giu,below
credevo,I thought
futuro,future
preoccuparti,care
idiota,idiot
cibo,food
fretta,rush
cara,Dear
finalmente,long last
morti,dead
odio,hate
solito,usual
brava,good
é,And
incidente,accident
allo,at the
dev',dev
intenzione,intention
speciale,special
cambiare,change
vera,real
camera,room
oltre,beyond
semplice,simple
dirti,tell you
riguardo,about
finche,as long as
aspetto,appearance
viaggio,voyage
chiaro,clear
chiamata,call
bocca,mouth
permesso,permit
piacerebbe,would like
dovete,you have to
giocare,to play
ordine,order
circa,about
ovviamente,obviously
finire,to finish
piu',more'
natale,Christmas
i',the'
direi,I'd say
vostri,your
occhio,eye
pronta,ready
scusami,excuse me
mattina,morning
cercato,looked for
crede,you think
sistema,system
york,York
fondo,background
resta,remains
devono,must
prossimo,next
pronti,ready
saputo,known
scusate,excuse me
potere,power
milioni,millions
soltanto,only
armi,weapons
arriva,he arrives
fermo,stopped
mese,month
chiedere,ask
cristo,Christ
torno,turn
venite,Come
controllare,check
appuntamento,appointment
s,s
chiami,who do you Love
vecchia,old
detective,detective
pero,However
metti,you put
grado,grade
vanno,they go
nave,ship
iniziato,started
perche',because'
informazioni,information
libero,free
stronzo,asshole
grandi,large
pezzo,piece
segreto,secret
colpo,hit
faceva,did
piacciono,like
porto,port
oppure,or
completamente,completely
vederti,see you
lista,list
venga,come
veloce,rapid
assassino,killer
sapeva,He knew
finché,as long as
tom,Tom
ormai,at this point
interessa,interest
generale,general
giusta,right
tenere,to hold
pazzo,crazy
vittima,victim
giuro,I swear
consiglio,Advice
michael,Michael
alcune,someone
semplicemente,simply
zio,uncle
centro,center
specie,species
mille,one thousand
sogno,dream
lasci,leave
carino,cute
doveva,where you go
brutto,ugly
nello,in
aspetti,aspects
incredibile,incredible
sole,Sun
glielo,it
legge,law
spesso,often
guardate,watch
cambiato,changed
scena,scene
volevi,you wanted
charlie,Charlie
lasciami,leave me
gentile,Kind
rispetto,respect
ve,ve
fara,will make
zitto,Shut up
incontro,encounter
farà,will make
servono,serve
rapporto,relationship
errore,error
mike,mike
sanno,know
pagare,to pay
sorpresa,surprise
occhiata,look
risposta,answer
presa,socket
servizio,service
medico,doctor
usato,used
hey,hey
caro,expensive
schifo,disgust
avrai,you will have
dolore,ache
saresti,would you be
personale,personal
quali,Which
saro,I will be
peggio,worse
addio,goodbye
addosso,on
dovevo,I had to
poteva,he could
pieno,full
diverso,different
vestiti,clothes
sparato,shot
realtà,reality
do,do
sarò,I will be
normale,normal
fame,hunger
programma,program
nonna,Grandmother
sappia,knock
sembrava,It seemed
migliori,best
notizie,news
avevamo,we had
riesci,are able
posizione,position
vengo,I come
rimanere,to remain
compagnia,company
proposito,purpose
farci,make us
joe,joe
ricorda,remember
frank,frank
prende,takes
tante,many
avevano,they had
arrivando,arriving
chiuso,Closed
terribile,terrible
ritardo,delay
attento,careful
bar,bar
sembri,you look
fallo,just do it
dimenticato,forgotten
bisogna,must
impossibile,impossible
cioè,that is
studio,study
stessi,themselves
arma,weapon
conosce,knows
uscita,exit
ii,II
fin,fin
disse,She said
david,david
vattene,get out
quante,how much it is
guai,trouble
intorno,around
video,video
manca,is missing
esserci,us
grosso,big
tanti,many
dolce,sweet
chiave,key
cervello,brain
coraggio,courage
interessante,Interesting
peccato,Sin
questione,question
adoro,I adore
aereo,airplane
guardi,look
rubato,stolen
sala,room
base,base
peter,peter
george,George
sette,seven
sente,feel
compleanno,birthday
potrebbero,they might
relazione,relation
cliente,customer
spalle,shoulders
seconda,second
parti,set off
vale,vale
qualcun,someone
diritto,right
sicuramente,surely
appartamento,apartment
pranzo,lunch
saremo,We will be
denaro,money
riuscito,succeeded
continuare,to continue
serata,evening
nero,black
vestito,dress
carta,paper
ex,former
dottoressa,female doctor
bastardo,Bastard
potevo,I could
iniziare,to start
lavora,works
otto,eight
conosciuto,known
zona,area
stavi,you were
intendo,I mean
negozio,shop
trovo,I find
aspettando,waiting for
partita,match
tv,TV
spazio,space
andra,Andra
notizia,news
tempi,time
linea,line
james,james
riguarda,it concerns
soli,sole
parliamo,let's talk
uh,uh
poliziotto,police officer
scappare,to run away
fronte,forehead
vinto,won
averlo,have it
tranquillo,calm
silenzio,silence
andati,went
fossero,they were
simile,similar
pezzi,pieces
calma,calm
santo,holy
ricerca,Research
pena,penalty
aspettate,expect
stesse,themed
esiste,exists
scoprire,discover
altrimenti,otherwise
diceva,he said
luogo,place
lettera,letter
vive,lives
salvare,to save
canzone,song
vengono,they come
pubblico,public
senta,senta
corso,course
henry,henry
regalo,gift
sentite,heard
rimasto,remained
lavorando,working
né,neither
scherzando,jokingly
stamattina,This morning
missione,mission
test,test
salute,health
farebbe,would do
scelto,choice
dura,tough
computer,computer
stupida,stupid
avremmo,we would have
aiutarti,help you
contatto,contact
pericolo,danger
entro,within
parlo,I speak
alex,Alex
freddo,cold
triste,sad
promesso,promised
esercito,army
america,America
ultimi,last
trovi,find
dunque,so
guardia,guard
jane,jane
infatti,indeed
possibilita,possibility
intendi,you mean
fbi,fbi
casino,casino
buonanotte,good night
caccia,hunting
gay,gay
arrivata,arrived
lavori,works
max,max
certamente,Certainly
regole,rules
vostre,yours
dovrai,you will have to
secondi,seconds
ballo,dance
ascoltami,listen to me
birra,beer
ovunque,everywhere
club,club
paul,paul
arrivati,arrive
governo,government
bellissima,beautiful
oro,gold
duro,hard
cucina,kitchen
decisione,decision
anima,soul
forma,form
tornata,back
esempio,example
incontrato,encountered
occasione,occasion
stanotte,tonight
porti,ports
droga,drug
possibilità,possibility
cellulare,cell phone
necessario,necessary
avremo,we'll have
ferma,stop
borsa,bag
prometto,I promise
palle,ball
nonno,not no
piena,full
attacco,attack
dagli,by
affatto,at all
colpito,hit it
salvato,saved
siediti,sit down
reale,real
comprare,to buy
inferno,hell
parlarne,talk about it
diciamo,let's say
regina,Queen
carina,nice
aperto,open
brutta,ugly
braccio,arm
fermati,stopped
stavamo,we were
crimine,crime
andrà,will go
chiesa,church
effetti,effect
tenente,lieutenant
sapevi,You knew
scrivere,to write
scommetto,I bet
paziente,patient
scarpe,shoes
danny,danny
livello,level
fermi,stopped
ia,ia
lunga,long
mentito,lie
viva,Viva
spettacolo,show
usa,use
visita,visit
alcun,any
sarah,sarah
precedenti,precedent
diventato,become
mica,not
sinistra,left
percio,thus
processo,process
mare,sea
direttore,director
intelligente,intelligent
mary,mary
rende,renders
comprato,bought
classe,class
ehm,ehm
cambio,exchange
scorsa,last
farla,make it
bianco,White
tavolo,table
stagione,season
dite,of you
nick,nick
dannazione,damn
cavallo,horse
sergente,sergeant
incinta,pregnant
rotto,Broken
aiuti,aid
episodio,episode
rispondere,reply
contento,happy
conoscere,know
inglese,English
volo,fly
attraverso,through
riesce,succeed
differenza,difference
apri,you open
passi,steps
uscito,released
coi,with
codice,code
lato,side
hotel,hotel
maggiore,greater
farsi,make oneself
uniti,united
trovata,found
eccolo,there he is
carne,meat
lavorato,worked
star,star
umano,human
certa,certain
miglior,better
averti,have you
de,de
pagato,paid
libera,free
avrà,will have
vorrebbe,he would
caldo,heat
pelle,skin
interno,internal
temo,fear
leggere,to read
comandante,commander
cerco,I look for
avrebbero,they would
pomeriggio,afternoon
documenti,papers
farei,I would do
giudice,judge
mostro,monster
destra,right
luna,moon
ringrazio,I thank
guardando,watching
pericoloso,dangerous
buone,good
affare,deal
figliolo,son
jake,jake
vino,wine
passa,pass
presente,present
ordini,orders
arrivederci,until we meet again
caffè,coffee
barca,boat
maledizione,curse
nuovi,new
vederlo,see him
lezione,lesson
intero,entire
dia,dia
partire,leave
venuti,coming
sogni,dreams
chiedendo,asking
alta,high
nord,north
pensate,think
jimmy,jimmy
parlarti,talk to you
perciò,therefore
congratulazioni,congratulations
data,date
sposato,married
gliel',liel
sembrare,to seem
treno,train
radio,radio
l,L
comune,common
cattivo,bad
imparato,learned
smettere,stop
ottima,Great
aiutarmi,help me
ama,loves
intera,whole
responsabile,responsible
abbiano,have
lascio,leave
farcela,do it
bomba,bomb
agenti,agents
belle,beautiful
m',m
pochi,few
san,san
clienti,clients
periodo,period
energia,power
segno,sign
mangiato,ate
calmati,take it easy
chiudi,close
posti,places
accidenti,damn
bellissimo,very beautiful
quegli,those
dovrebbero,they should
vivi,alive
speranza,hope
rischio,risk
caffe,coffee
rosso,Red
soprattutto,above all
combattere,fight
tocca,tap
operazione,operation
zia,aunt
sexy,sexy
gamba,leg
biglietto,ticket
pazza,crazy
ufficiale,official
vorresti,would you
vincere,win
gambe,legs
pressione,pressure
farle,make them
seguito,following
nascosto,hidden away
maestro,master
fantastica,fantastic
benvenuto,welcome
and,and
sarebbero,they would be
offerta,offer
ami,do you love
vite,lives
scherzo,joke
qualcos',QUALCOS '
finta,fake
testimone,witness
fratelli,siblings
banca,Bank
aprire,to open
potesse,might
stronzate,bullshit
indirizzo,address
tale,such
ottenere,get
potessi,could
jim,jim
esperienza,experience
portata,range
messa,mass
steve,steve
piangere,cry
bill,bill
segreti,secrets
scorso,last
tony,tony
lasciate,leave
andremo,we will go
sud,south
uccisa,killed
darmi,give me
torni,lathes
pianeta,planet
darti,give you
inoltre,Furthermore
serie,series
esci,go out
ray,ray
vittime,victims
diversi,different
porca,slut
guida,guide
prezzo,price
strana,strange
arrabbiato,angry
vecchi,old
verrà,it will come
orribile,horrible
gesu,Jesus
ritorno,return
entrato,entered
animali,animals
enorme,huge
metto,put
harry,Harry
passaggio,ride
imparare,learn
progetto,project
danno,damage
naturalmente,naturally
colpevole,guilty
ragazzino,little boy
metri,meters
tommy,Tommy
chiavi,keys
mossa,move
finestra,window
suppongo,I presume
destino,destiny
molta,a lot
saltare,jump
correre,run
frega,scrub
edificio,building
colazione,Breakfast
collo,neck
difesa,defence
diro,I will say
vicini,neighbors
fiducia,confidence
aiutato,helped
maggior,greatest
avermi,me
saprei,Saprei
capisce,understand
ristorante,restaurant
nomi,names
laboratorio,laboratory
scegliere,to choose
comando,command
chiedi,ask
arte,art
meta,half
discorso,speech
nove,nine
avra,avra
segnale,signal
perfetta,perfect
fortunato,lucky
libri,books
carriera,career
blu,blue
cominciare,begin
muro,Wall
will,will
tranne,except
bob,bob
proteggere,to protect
prendendo,taking
dubbio,doubt
dati,data
stazione,station
emergenza,emergency
giustizia,justice
immediatamente,immediately
odore,odor
umani,humans
college,college
ascolti,you listen
contrario,contrary
terzo,third
preoccupare,worry
locale,local
mette,put
faranno,will
battaglia,battle
aiutarla,help
diverse,different
notato,noted
chiamate,calls
sceriffo,sheriff
sembrano,they seem
evitare,to avoid
spirito,spirit
seduto,sitting
bianca,White
ryan,Ryan
lingua,language
dipartimento,department
controllato,checked
massimo,maximum
praticamente,practically
riunione,meeting
po',bit'
rumore,noise
torta,cake
guardami,watch me
dirò,I will say
accanto,next to
eroe,hero
turno,shift
piccoli,little ones
entrambe,both
dovremo,we will have to
potrai,you can
londra,London
vedrai,you will see
punti,points
fiori,flowers
vederla,see her
persino,even
ovvio,obvious
furgone,Van
amy,amy
coppia,couple
ridere,laugh
inizia,it begins
pausa,pause
billy,Billy
grave,serious
vedete,see
memoria,memory
dovevi,have
aiutami,help me
tranquilla,calm
cosi',as'
naso,nose
andava,went
nemico,enemy
mangia,it eats
chiudere,to close
felici,happy
colonnello,colonel
palla,ball
giovani,Young people
richard,Richard
nuove,new
costa,it costs
laggiù,over there
lee,Lee
scatola,box
torniamo,we return
albero,tree
you,You
tribunale,court
razza,race
anello,ring
prenda,take
idee,ideas
piede,feet
ferita,wound
ferito,injured
cerchi,rims
preoccupato,worried
verra,it will come
sentimenti,feelings
arresto,arrest
project,project
averla,her
dà,from
soldato,soldier
natura,nature
cominciato,started
inutile,useless
casi,cases
prendiamo,we take
colore,color
basso,low
uso,use
don,Don
anzi,rather
storie,stories
digli,say to Him
daniel,Daniel
preferito,favorite
dirle,tell her
utile,useful
cattiva,bad
cani,dogs
sparare,shoot
parigi,Paris
diventa,it becomes
chiamano,they call
ascoltare,to listen
kevin,Kevin
decidere,decide
professore,professor
fidanzato,fiance
sensazione,sensation
andartene,leave
legale,legal
carte,cards
compito,task
srt,srt
stronza,stronza
contenta,content
provi,proven
los,los
corte,court
tengo,keep
pesce,fish
pensano,they think
johnny,johnny
obiettivo,target
incontrare,encounter
nato,born
visti,seen
show,show
conta,count
accesso,access
breve,short
risolvere,to solve
isola,Island
povero,poor man
stavolta,this time
mark,mark
affrontare,face up to
poliziotti,policemen
opera,Opera
anna,Anna
buoni,good
ballare,to dance
bacio,kiss
resti,remains
funzionato,worked
bordo,edge
sbaglio,I err
giochi,games
verde,green
saremmo,we would be
aperta,open
improvviso,sudden
continui,continuous
fianco,flank
alzati,get up
accettare,to accept
metà,half
continuo,continuous
peso,weight
piaciuto,liked
stile,style
corsa,race
entrata,entrance
soluzione,solution
maria,Mary
fanculo,fuck you
contratto,contract
arrabbiata,angry
fermare,stop
retro,back
meraviglioso,marvelous
guidare,Drive
denti,teeth
mandare,send
fidati,trust me
sveglia,wakes up
tiene,holds
ultimamente,lately
creato,created
prendermi,get
kate,kate
dipende,depends
innocente,innocent
scopo,purpose
coltello,knife
chris,Chris
fila,line
magia,magic
effetto,effect
procuratore,prosecutor
ricordare,remember
smesso,stopped
dna,DNA
vendere,sell
pantaloni,trousers
miss,Miss
centrale,central
azione,action
principe,prince
cadavere,dead body
chiusa,closed
fede,faith
nipote,grandson
andro,I will go
soldati,soldiers
conti,accounts
finisce,ends
stavano,they were
riuscita,success
troveremo,we will find
stampa,Press
of,of
assistente,assistant
ognuno,each one
robert,Robert
debole,weak
risultati,results
ridicolo,ridiculous
sii,Yay
vaffanculo,fuck
andarci,go there
adam,adam
dirtelo,tell you
grandioso,great
americano,American
gesù,Jesus
francese,French
chiederti,ask you
faresti,would you do
taxi,Taxi
sottotitoli,subtitles
creare,create
peggiore,worse
bevuto,drunken
rimasta,remained
angolo,corner
latte,milk
buio,dark
siate,be
malattia,illness
gatto,cat
suona,it sounds
troviamo,we find
brian,Brian
estate,summer
scomparsa,disappearance
fargli,get him
risposto,replied
condizioni,conditions
muoviti,move
charles,Charles
angeles,Angeles
fiume,River
schiena,back
sindaco,Mayor
nonostante,despite
reso,made
campagna,countryside
andrai,you will go
tenuto,kept
paga,pay
seguire,to follow
cerchiamo,LOOKING
scott,Scott
coglione,asshole
rachel,rachel
bobby,bobby
dettagli,details
chiaramente,clearly
rispondi,reply
capace,to be able
distrutto,destroyed
forze,Strength
importanza,importance
debba,debt
importanti,important
particolare,particular
stanco,tired out
piani,plans
mantenere,to maintain
piaceva,liked
richiesta,request
parecchio,quite a lot of
dando,giving
principale,principal
rose,rose
insegnato,taught
faccenda,affair
vento,wind
immaginare,to imagine
dimenticare,forget
matto,crazy
convinto,convinced
rovinato,ruined
campione,sample
buonasera,good evening
braccia,arm
laggiu,lag
decisamente,decidedly
washington,Washington
usando,using
provando,trying
momenti,moments
sbagliata,wrong
andrò,I will go
pensarci,think about it
mercato,market
valore,value
sbrigati,hurry up
salire,to go up
drink,drink
riuscire,to be able to
spiegare,to explain
principessa,Princess
provo,I try
avro,avo
attenta,attentive
zitta,shut up
eddie,eddie
andy,Andy
bellezza,beauty
prendete,take
tanta,tanta
morendo,dying
rilassati,take it easy
buco,hole
conversazione,conversation
dover,having to
speravo,I was hoping
attesa,wait
pensiero,thought
rimane,remains
benvenuti,welcome
conoscenza,knowledge
ponte,bridge
malato,ill
claire,claire
sedia,chair
vedremo,we will see
omicidi,murders
walter,walter
finale,the final
impronte,fingerprints
sistemare,tidy up
pensiamo,we think
emma,Emma
succedere,happen
avrò,I will have
emily,emily
ghiaccio,ice
tracce,trail
bottiglia,bottle
accettato,accepted
indagine,investigation
pensava,thought
passata,past
super,super
eppure,but yet
fottuto,fucking
propria,its own
tiro,shot
cadere,fall
ll,ll
diversa,different
sguardo,gaze
perdita,loss
milione,million
camminare,to walk
eccoci,here we are
dan,dan
pratica,practice
americani,American
primi,first
villaggio,village
scuse,apologies
fantasma,ghost
trovarlo,find it
potevi,you could
preferisco,I rather
scusatemi,apologize
ispettore,inspector
teoria,theory
chiamami,Call me
dovere,duty
camion,truck
parco,Park
palazzo,building
privato,private
dovreste,you should
troia,slut
chiede,asks
volessi,wanted
purtroppo,Unfortunately
eccola,here she is
preoccupata,worried
area,area
aspettavo,expect
prenderti,pick you up
accusa,accusation
crederci,believe
martin,martin
stelle,star
direttamente,directly
ie,ie
aiuta,it helps
esserlo,am
voler,want
cento,one hundred
fidanzata,fiancée
andarmene,go away
seriamente,seriously
pista,track
terza,third
desiderio,wish
preoccupi,worries
mentendo,lying
ubriaco,drunk
angelo,Angel
tradurre,to translate
luci,lights
popolo,people
case,homes
grace,grace
dita,fingers
vince,wins
infermiera,nurse
altezza,height
seduta,sitting
minaccia,threat
età,age
controlla,check it out
nazionale,national
genio,genius
caduto,fallen
corri,run
cinema,cinema
t,t
passati,passed
tetto,roof
alcuna,any
stella,star
josh,josh
media,average
politica,policy
voci,voices
suono,sound
to,to
copertura,cover
conosciamo,we know
vissuto,lived
piaci,likes
internet,Internet
eric,Eric
lettere,letters
occupato,busy
sposata,married
cancro,cancer
numeri,numbers
diamo,Let's give
credimi,believe me
compagno,company
merito,merit
società,society
quand',pand '
nient',nothing'
spada,spade
vedermi,see me
scendere,descend
pazienti,patient
kim,kim
dirgli,tell him
leggi,read
cambia,change
facevo,I did
pete,pete
sentita,heard
diventata,become
perfettamente,perfectly
ragazzina,little girl
bicchiere,glass
autobus,bus
dargli,give him
vuoto,empty
porte,doors
animale,animal
jason,jason
azienda,agency
sabato,Saturday
pollo,chicken